Target,Analog,Sigma Distance
AL_Autauga,TX_Burleson,0.32245
AL_Autauga,TX_Brazos,0.3366
AL_Autauga,TX_Caldwell,0.14084
AL_Autauga,TX_Bastrop,0.11629
AL_Autauga,TX_Fayette,0.56656
AL_Barbour,TX_Guadalupe,0.16231
AL_Barbour,TX_Washington,0.322
AL_Barbour,TX_Fayette,0.28779
AL_Barbour,TX_Gonzales,0.30311
AL_Barbour,TX_Wilson,0.24161
AL_Barbour,TX_Frio,0.52132
AL_Bullock,TX_Washington,0.42679
AL_Bullock,TX_Gonzales,0.21771
AL_Bullock,TX_Fayette,0.33409
AL_Bullock,TX_Guadalupe,0.07289
AL_Chilton,TX_Brazos,0.05571
AL_Chilton,TX_Caldwell,0.09163
AL_Chilton,TX_Burleson,0.19585
AL_Covington,TX_Colorado,0.2461
AL_Covington,TX_Fayette,0.29413
AL_Covington,TX_Gonzales,0.29971
AL_Covington,TX_Wilson,0.374
AL_Covington,TX_Washington,0.44916
AL_Covington,TX_Lavaca,0.13849
AL_Covington,TX_Guadalupe,0.34173
AL_Covington,TX_Frio,0.58727
AL_Geneva,TX_Wilson,0.20859
AL_Geneva,TX_Atascosa,0.10868
AL_Geneva,TX_Frio,0.20761
AL_Geneva,TX_Lavaca,0.21086
AL_Geneva,TX_Colorado,0.27658
AL_Geneva,TX_Gonzales,0.33479
AL_Geneva,TX_Maverick,0.46344
AL_Houston,TX_Atascosa,0.0974
AL_Houston,TX_Maverick,0.27388
AL_Houston,TX_Frio,0.24467
AL_Houston,TX_Wilson,0.32378
AL_Houston,TX_Bexar,0.16201
AL_Houston,TX_Lavaca,0.38176
AL_Houston,TX_Fayette,0.45255
AL_Mobile,TX_Lavaca,0.6082
AL_Mobile,TX_Atascosa,0.83195
AL_Mobile,TX_Fort Bend,0.50079
AL_Mobile,TX_Wilson,0.5374
AL_Mobile,TX_Colorado,0.66638
AL_Pike,TX_Bexar,0.0763
AL_Pike,TX_Wilson,0.15407
AL_Pike,TX_Colorado,0.18539
AL_Pike,TX_Fayette,0.23309
AL_Pike,TX_Washington,0.24799
AL_Pike,TX_Gonzales,0.12725
AL_Pike,TX_Guadalupe,0.12809
AL_Pike,TX_Caldwell,0.19322
AL_Pike,TX_Frio,0.29823
AR_Bradley,TX_Bastrop,0.55781
AR_Bradley,TX_Brazos,0.56821
AR_Bradley,TX_Burleson,0.57755
AR_Bradley,TX_Milam,0.61023
AR_Bradley,TX_Bell,0.30671
AR_Bradley,TX_Washington,0.60866
AR_Chicot,TX_Guadalupe,0.55577
AR_Chicot,TX_Wilson,0.79173
AR_Chicot,TX_Fayette,0.84818
AR_Chicot,TX_Travis,0.67725
AR_Chicot,TX_Bexar,0.81983
AR_Chicot,TX_Bastrop,0.87382
AR_Chicot,TX_Caldwell,0.73112
AR_Chicot,TX_Gonzales,0.87565
AR_Chicot,TX_Frio,0.9565
AR_Conway,TX_Ellis,0.48747
AR_Conway,TX_Collin,0.30738
AR_Conway,TX_Hunt,0.33724
AR_Cross,TX_Ellis,1.20843
AR_Cross,TX_Bell,1.04629
AR_Jefferson,TX_Travis,0.81886
AR_Jefferson,TX_Bastrop,0.85333
AR_Jefferson,TX_Guadalupe,0.94308
AR_Jefferson,TX_Milam,0.88264
AR_Jefferson,TX_Williamson,0.93238
AR_Jefferson,TX_Caldwell,0.73664
AR_Jefferson,TX_Bell,1.00192
AR_Little River,TX_Brazos,0.84203
AR_Little River,TX_Washington,0.87827
AR_Little River,TX_Fayette,0.96159
AR_Little River,TX_Burleson,0.61764
AR_Little River,TX_Bastrop,0.68456
AR_Lonoke,TX_Williamson,0.81414
AR_Lonoke,TX_Milam,0.8612
AR_Lonoke,TX_Travis,0.87659
AR_Lonoke,TX_Ellis,0.70371
AR_Lonoke,TX_Bell,0.92255
AR_Miller,TX_Wilson,0.62414
AR_Miller,TX_Fayette,0.64781
AR_Miller,TX_Brazos,0.378
AR_Miller,TX_Gonzales,0.61342
AR_Miller,TX_Guadalupe,0.64436
AR_Miller,TX_Bexar,0.50028
AR_Miller,TX_Bastrop,0.6419
AR_Miller,TX_Frio,0.78766
AR_Phillips,TX_Williamson,1.00156
AR_Phillips,TX_Milam,1.0387
AR_Phillips,TX_Travis,1.00159
AR_Phillips,TX_Bell,1.11843
AR_Phillips,TX_Bastrop,1.25386
AR_Phillips,TX_Guadalupe,1.27931
AZ_Cochise,TX_Uvalde,1.53813
AZ_Cochise,TX_Midland,1.23882
AZ_Graham,TX_Midland,0.44177
CA_Alameda,CA_Contra Costa,1.85
CA_Alameda,CA_Los Angeles,1.96
CA_Alameda,CA_Solano,1.95
CA_Alameda,CA_Alameda,1.8
CA_Alameda,CA_Stanislaus,1.96
CA_Alameda,CA_San Diego,1.01966
CA_Alameda,CA_Ventura,1.02462
CA_Amador,CA_San Bernardino,1.82
CA_Amador,CA_Kern,1.84
CA_Amador,CA_Riverside,1.66228
CA_Amador,CA_Tulare,1.59049
CA_Amador,CA_Kings,1.50553
CA_Butte,CA_Kern,1.87
CA_Butte,CA_Riverside,1.83
CA_Butte,CA_San Bernardino,1.7259
CA_Butte,CA_Tulare,1.64039
CA_Butte,CA_Kings,1.50181
CA_Calaveras,CA_Tulare,1.41596
CA_Calaveras,CA_Kern,1.77293
CA_Calaveras,CA_Riverside,1.75226
CA_Calaveras,CA_San Bernardino,1.31086
CA_Calaveras,CA_Kings,1.00799
CA_Calaveras,CA_Tehama,0.98897
CA_Colusa,CA_Kern,1.71128
CA_Colusa,CA_San Bernardino,1.16304
CA_Colusa,CA_Riverside,1.13152
CA_Colusa,CA_Tulare,1.24999
CA_Colusa,CA_Kings,1.29503
CA_Colusa,CA_Fresno,1.26503
CA_Contra Costa,CA_Fresno,1.85
CA_Contra Costa,CA_Tulare,1.83
CA_Contra Costa,CA_Merced,1.77336
CA_Contra Costa,CA_Stanislaus,1.2954
CA_Contra Costa,CA_Riverside,0.96168
CA_Contra Costa,CA_Kern,1.67522
CA_El Dorado,CA_Shasta,0.56303
CA_El Dorado,CA_Nevada,0.5021
CA_El Dorado,CA_Calaveras,0.59922
CA_El Dorado,CA_Placer,0.58571
CA_El Dorado,CA_Glenn,0.75039
CA_El Dorado,CA_Tehama,0.76956
CA_Fresno,CA_San Bernardino,1.49292
CA_Fresno,CA_Riverside,1.17392
CA_Fresno,CA_Kern,1.29577
CA_Fresno,AZ_Pinal,1.71839
CA_Fresno,CA_Tulare,1.49301
CA_Glenn,CA_Kern,1.82
CA_Glenn,CA_San Bernardino,1.65878
CA_Glenn,CA_Riverside,1.49865
CA_Glenn,CA_Tulare,1.33918
CA_Glenn,CA_Kings,1.15532
