State,value,Analog,Category,
AL_Autauga,TX_Hays,good analog,Non Speciality Crop,
AL_Autauga,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Autauga,TX_Freestone,good analog,Non Speciality Crop,
AL_Autauga,TX_Leon,good analog,Non Speciality Crop,
AL_Autauga,TX_Limestone,good analog,Non Speciality Crop,
AL_Autauga,TX_Angelina,good analog,Non Speciality Crop,
AL_Autauga,TX_Madison,good analog,Speciality Crop,
AL_Autauga,TX_San Augustine,good analog,Non Speciality Crop,
AL_Autauga,TX_Trinity,good analog,Non Speciality Crop,
AL_Autauga,TX_Jasper,good analog,Non Speciality Crop,
AL_Baldwin,TX_Goliad,good analog,Non Speciality Crop,
AL_Baldwin,TX_Fort Bend,good analog,Speciality Crop,
AL_Baldwin,TX_Wharton,good analog,Speciality Crop,
AL_Baldwin,TX_Victoria,good analog,Non Speciality Crop,
AL_Baldwin,TX_Jackson,good analog,Non Speciality Crop,
AL_Baldwin,TX_Lavaca,good analog,Speciality Crop,
AL_Baldwin,TX_Webb,good analog,Non Speciality Crop,
AL_Baldwin,TX_Bee,good analog,Non Speciality Crop,
AL_Baldwin,TX_Duval,good analog,Non Speciality Crop,
AL_Baldwin,TX_San Patricio,good analog,Non Speciality Crop,
AL_Barbour,TX_Washington,good analog,Speciality Crop,
AL_Barbour,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Barbour,TX_Madison,good analog,Speciality Crop,
AL_Barbour,TX_Hays,good analog,Non Speciality Crop,
AL_Barbour,TX_Trinity,good analog,Non Speciality Crop,
AL_Barbour,TX_Burleson,good analog,Speciality Crop,
AL_Barbour,TX_Polk,good analog,Non Speciality Crop,
AL_Barbour,TX_Hardin,good analog,Non Speciality Crop,
AL_Barbour,TX_Blanco,good analog,Non Speciality Crop,
AL_Barbour,TX_Guadalupe,good analog,Speciality Crop,
AL_Bullock,TX_Washington,good analog,Speciality Crop,
AL_Bullock,TX_Madison,good analog,Speciality Crop,
AL_Bullock,TX_Brazos,good analog,Speciality Crop,
AL_Bullock,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Bullock,TX_Burleson,good analog,Speciality Crop,
AL_Bullock,TX_Blanco,good analog,Non Speciality Crop,
AL_Bullock,TX_Hays,good analog,Non Speciality Crop,
AL_Bullock,TX_Fayette,good analog,Speciality Crop,
AL_Bullock,TX_Polk,good analog,Non Speciality Crop,
AL_Chilton,TX_Freestone,good analog,Non Speciality Crop,
AL_Chilton,TX_Blanco,good analog,Non Speciality Crop,
AL_Chilton,TX_Leon,good analog,Non Speciality Crop,
AL_Chilton,TX_Hays,good analog,Non Speciality Crop,
AL_Chilton,TX_Trinity,good analog,Non Speciality Crop,
AL_Chilton,TX_San Augustine,good analog,Non Speciality Crop,
AL_Chilton,TX_Angelina,good analog,Non Speciality Crop,
AL_Chilton,TX_Jasper,good analog,Non Speciality Crop,
AL_Chilton,TX_Limestone,good analog,Non Speciality Crop,
AL_Chilton,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Covington,TX_Washington,good analog,Speciality Crop,
AL_Covington,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Covington,TX_Colorado,good analog,Speciality Crop,
AL_Covington,TX_Guadalupe,good analog,Speciality Crop,
AL_Covington,TX_Gonzales,good analog,Speciality Crop,
AL_Covington,TX_Burleson,good analog,Speciality Crop,
AL_Covington,TX_Polk,good analog,Non Speciality Crop,
AL_Covington,TX_Fayette,good analog,Speciality Crop,
AL_Covington,TX_Hays,good analog,Non Speciality Crop,
AL_Covington,TX_Caldwell,good analog,Speciality Crop,
AL_Cullman,TX_Morris,good analog,Non Speciality Crop,
AL_Cullman,TX_Hunt,good analog,Speciality Crop,
AL_Geneva,TX_Colorado,good analog,Speciality Crop,
AL_Geneva,TX_Lavaca,good analog,Speciality Crop,
AL_Geneva,TX_Fayette,good analog,Speciality Crop,
AL_Geneva,TX_Gonzales,good analog,Speciality Crop,
AL_Geneva,TX_Wilson,good analog,Speciality Crop,
AL_Geneva,TX_Guadalupe,good analog,Speciality Crop,
AL_Geneva,TX_Washington,good analog,Speciality Crop,
AL_Houston,TX_Lavaca,good analog,Speciality Crop,
AL_Houston,TX_Colorado,good analog,Speciality Crop,
AL_Houston,TX_Wilson,good analog,Speciality Crop,
AL_Houston,TX_Gonzales,good analog,Speciality Crop,
AL_Houston,TX_Fayette,good analog,Speciality Crop,
AL_Houston,TX_Bexar,good analog,Speciality Crop,
