State,value,Category
AL_Autauga,TX_Burleson,Speciality Crop
AL_Autauga,TX_Brazos,Speciality Crop
AL_Autauga,TX_Caldwell,Speciality Crop
AL_Autauga,TX_Grimes,Non Speciality Crop
AL_Autauga,TX_Hays,Non Speciality Crop
AL_Autauga,TX_Bastrop,Speciality Crop
AL_Autauga,TX_Fayette,Speciality Crop
AL_Autauga,TX_Guadalupe,Speciality Crop
AL_Autauga,TX_San Augustine,Non Speciality Crop
AL_Autauga,TX_Gonzales,Speciality Crop
AL_Baldwin,TX_Webb,Non Speciality Crop
AL_Baldwin,TX_Bee,Non Speciality Crop
AL_Baldwin,TX_Goliad,Non Speciality Crop
AL_Baldwin,TX_Live Oak,Non Speciality Crop
AL_Baldwin,TX_McMullen,Non Speciality Crop
AL_Baldwin,TX_Duval,Non Speciality Crop
AL_Baldwin,TX_Victoria,Non Speciality Crop
AL_Baldwin,TX_San Patricio,Non Speciality Crop
AL_Baldwin,TX_Dimmit,Non Speciality Crop
AL_Baldwin,TX_Jim Hogg,Non Speciality Crop
AL_Barbour,TX_Guadalupe,Speciality Crop
AL_Barbour,TX_Washington,Speciality Crop
AL_Barbour,TX_Fayette,Speciality Crop
AL_Barbour,TX_Gonzales,Speciality Crop
AL_Barbour,TX_Wilson,Speciality Crop
AL_Barbour,TX_San Jacinto,Non Speciality Crop
AL_Barbour,TX_Frio,Speciality Crop
AL_Barbour,TX_Caldwell,Speciality Crop
AL_Barbour,TX_Colorado,Speciality Crop
AL_Barbour,TX_Hays,Non Speciality Crop
AL_Bullock,TX_Washington,Speciality Crop
AL_Bullock,TX_Gonzales,Speciality Crop
AL_Bullock,TX_Fayette,Speciality Crop
AL_Bullock,TX_Grimes,Non Speciality Crop
AL_Bullock,TX_Guadalupe,Speciality Crop
AL_Bullock,TX_Hays,Non Speciality Crop
AL_Bullock,TX_Madison,Speciality Crop
AL_Bullock,TX_Trinity,Non Speciality Crop
AL_Bullock,TX_Polk,Non Speciality Crop
AL_Bullock,TX_Burleson,Speciality Crop
AL_Chilton,TX_Hays,Non Speciality Crop
AL_Chilton,TX_Brazos,Speciality Crop
AL_Chilton,TX_Caldwell,Speciality Crop
AL_Chilton,TX_Burleson,Speciality Crop
AL_Chilton,TX_Guadalupe,Speciality Crop
AL_Chilton,TX_Travis,Speciality Crop
AL_Chilton,TX_Sabine,Non Speciality Crop
AL_Chilton,TX_Grimes,Non Speciality Crop
AL_Chilton,TX_Robertson,Speciality Crop
AL_Chilton,TX_Wilson,Speciality Crop
AL_Covington,TX_Colorado,Speciality Crop
AL_Covington,TX_Fayette,Speciality Crop
AL_Covington,TX_Gonzales,Speciality Crop
AL_Covington,TX_Wilson,Speciality Crop
AL_Covington,TX_Washington,Speciality Crop
AL_Covington,TX_Lavaca,Speciality Crop
AL_Covington,TX_Guadalupe,Speciality Crop
AL_Covington,TX_San Jacinto,Non Speciality Crop
AL_Covington,TX_Frio,Speciality Crop
AL_Covington,TX_Atascosa,Speciality Crop
AL_Cullman,TX_Johnson,Non Speciality Crop
AL_Cullman,TX_Tarrant,Non Speciality Crop
AL_Cullman,TX_Dallas,Non Speciality Crop
AL_Cullman,TX_Limestone,Non Speciality Crop
AL_Cullman,TX_Hill,Non Speciality Crop
AL_Cullman,TX_Navarro,Speciality Crop
AL_Cullman,TX_Somervell,Non Speciality Crop
AL_Cullman,TX_Denton,Non Speciality Crop
AL_Geneva,TX_Wilson,Speciality Crop
AL_Geneva,TX_Atascosa,Speciality Crop
AL_Geneva,TX_Frio,Speciality Crop
AL_Geneva,TX_Lavaca,Speciality Crop
AL_Geneva,TX_Colorado,Speciality Crop
