State_County,Average of Intra Annual Precipitation,Average of Heat Degree Hours,Average of Growing Degree Days,Average of Season Length,Average of Chill Hours
AL_Autauga,220,649,7151,294,380
AL_Baldwin,282,651,7826,331,225
AL_Barbour,208,669,7364,298,332
AL_Bibb,224,656,7095,290,398
AL_Blount,219,531,6646,278,481
AL_Bullock,212,678,7318,297,347
AL_Butler,229,688,7460,301,321
AL_Calhoun,208,560,6741,279,455
AL_Chambers,216,587,6926,283,391
AL_Cherokee,209,537,6608,276,487
AL_Chilton,221,623,7074,291,394
AL_Choctaw,228,734,7415,295,341
AL_Clarke,234,728,7470,298,329
AL_Clay,221,465,6594,274,447
AL_Cleburne,208,504,6607,275,469
AL_Coffee,225,674,7534,308,310
AL_Colbert,228,600,6694,280,502
AL_Conecuh,243,669,7498,303,313
AL_Coosa,219,595,6965,286,400
AL_Covington,234,694,7491,300,308
AL_Crenshaw,225,692,7410,298,331
AL_Cullman,229,528,6597,275,488
AL_Dale,224,698,7649,314,294
AL_Dallas,219,708,7366,300,359
AL_DeKalb,221,376,6272,270,541
AL_Elmore,216,642,7170,295,370
AL_Escambia,258,692,7592,303,293
AL_Etowah,211,485,6560,279,502
AL_Fayette,234,586,6636,268,472
AL_Franklin,234,569,6606,274,504
AL_Geneva,227,680,7621,309,289
AL_Greene,222,709,7218,293,395
AL_Hale,219,736,7343,300,372
AL_Henry,217,682,7565,309,304
AL_Houston,220,712,7714,314,283
AL_Jackson,219,468,6381,270,534
AL_Jefferson,224,631,6881,280,432
AL_Lamar,234,645,6787,272,460
AL_Lauderdale,234,533,6482,270,529
AL_Lawrence,231,576,6680,281,500
AL_Lee,212,603,7031,287,382
AL_Limestone,227,525,6494,273,533
AL_Lowndes,217,712,7411,300,342
AL_Macon,214,663,7238,294,359
AL_Madison,221,489,6409,271,541
AL_Marengo,219,717,7333,298,369
AL_Marion,244,547,6604,274,498
AL_Marshall,216,514,6618,282,497
AL_Mobile,267,677,7681,313,271
AL_Monroe,239,683,7498,302,317
AL_Montgomery,213,712,7425,301,337
AL_Morgan,224,541,6618,280,507
AL_Perry,220,696,7257,297,378
AL_Pickens,225,693,6996,282,433
AL_Pike,218,669,7439,303,327
AL_Randolph,213,463,6578,271,445
AL_Russell,201,668,7264,295,352
AL_Saint Clair,213,574,6788,282,450
AL_Shelby,218,660,7048,287,392
AL_Sumter,222,725,7254,292,386
AL_Talladega,215,616,6917,282,413
AL_Tallapoosa,220,518,6761,280,420
AL_Tuscaloosa,226,672,7016,284,418
AL_Walker,230,580,6672,271,467
AL_Washington,248,726,7499,295,316
AL_Wilcox,225,709,7368,296,353
AL_Winston,239,531,6613,276,491
AR_Arkansas,225,752,7093,302,504
AR_Ashley,244,810,7368,300,417
AR_Baxter,205,605,6217,254,592
AR_Benton,210,576,6217,259,586
AR_Boone,200,535,6169,260,600
AR_Bradley,240,763,7170,288,436
AR_Calhoun,235,781,7187,283,425
AR_Carroll,203,539,6124,256,600
AR_Chicot,242,814,7361,304,433
AR_Clark,241,754,7026,282,454
AR_Clay,205,687,6464,273,638
AR_Cleburne,228,618,6396,267,580
AR_Cleveland,240,764,7160,299,473
AR_Columbia,233,774,7255,293,416
AR_Conway,224,727,6736,273,522
AR_Craighead,211,726,6711,287,601
AR_Crawford,228,675,6622,274,534
AR_Crittenden,219,722,6883,295,557
AR_Cross,216,730,6829,293,573
AR_Dallas,238,732,6975,282,466
AR_Desha,229,769,7204,304,476
AR_Drew,234,786,7240,300,455
AR_Faulkner,224,697,6675,275,535
AR_Franklin,222,719,6720,274,527
AR_Fulton,203,566,6081,249,609
AR_Garland,253,719,6858,280,487
AR_Grant,240,746,6992,285,476
AR_Greene,209,708,6613,282,617
AR_Hempstead,241,751,7085,286,444
AR_Hot Spring,246,743,6981,283,468
AR_Howard,247,734,6981,282,456
AR_Independence,216,696,6610,278,574
AR_Izard,211,626,6301,258,579
AR_Jackson,216,739,6766,289,582
AR_Jefferson,227,756,7113,301,491
AR_Johnson,230,602,6426,268,568
AR_Lafayette,230,805,7308,292,409
AR_Lawrence,214,703,6581,278,598
AR_Lee,224,730,6917,295,547
AR_Lincoln,232,771,7188,302,473
AR_Little River,238,786,7183,288,427
AR_Logan,220,739,6805,277,515
AR_Lonoke,223,730,6972,297,516
AR_Madison,212,510,6212,264,585
AR_Marion,209,593,6201,253,588
AR_Miller,227,821,7393,299,405
AR_Mississippi,217,721,6723,289,603
AR_Monroe,224,731,6932,296,540
AR_Montgomery,243,663,6664,271,500
