State,Code,County,State_County
Alabama,AL,Mobile,AL_Mobile
Alabama,AL,Chilton,AL_Chilton
Alabama,AL,Blount,AL_Blount
Alabama,AL,Houston,AL_Houston
Alabama,AL,Baldwin,AL_Baldwin
Alabama,AL,Covington,AL_Covington
Alabama,AL,Geneva,AL_Geneva
Alabama,AL,De Kalb,AL_De Kalb
Alabama,AL,Cullman,AL_Cullman
Alabama,AL,Autauga,AL_Autauga
Arizona,AZ,Pinal,AZ_Pinal
Arizona,AZ,Yuma,AZ_Yuma
Arizona,AZ,Lapaz,AZ_Lapaz
Arizona,AZ,Maricopa,AZ_Maricopa
Arizona,AZ,Cochise,AZ_Cochise
Arizona,AZ,Graham,AZ_Graham
Arkansas,AR,Lonoke,AR_Lonoke
Arkansas,AR,Bradley,AR_Bradley
Arkansas,AR,Miller,AR_Miller
Arkansas,AR,Little River,AR_Little River
Arkansas,AR,Cross,AR_Cross
California,CA,Fresno,CA_Fresno
California,CA,Kern,CA_Kern
California,CA,Monterey,CA_Monterey
California,CA,Tulare,CA_Tulare
California,CA,Stanislaus,CA_Stanislaus
California,CA,Madera,CA_Madera
California,CA,Merced,CA_Merced
California,CA,San Joaquin,CA_San Joaquin
California,CA,Siskiyou,CA_Siskiyou
California,CA,Kings,CA_Kings
California,CA,Contra Costa,CA_Contra Costa
California,CA,Imperial,CA_Imperial
California,CA,Sonoma,CA_Sonoma
California,CA,Santa Barbara,CA_Santa Barbara
California,CA,Yolo,CA_Yolo
California,CA,Glenn,CA_Glenn
California,CA,Butte,CA_Butte
California,CA,Calaveras,CA_Calaveras
California,CA,Ventura,CA_Ventura
California,CA,Colusa,CA_Colusa
California,CA,Sutter,CA_Sutter
California,CA,El Dorado,CA_El Dorado
California,CA,Sacramento,CA_Sacramento
California,CA,Alameda,CA_Alameda
California,CA,San Luis Obispo,CA_San Luis Obispo
California,CA,Riverside,CA_Riverside
California,CA,Napa,CA_Napa
California,CA,Los Angeles,CA_Los Angeles
California,CA,Amador,CA_Amador
California,CA,Yuba,CA_Yuba
California,CA,Orange,CA_Orange
California,CA,Modoc,CA_Modoc
California,CA,Mendocino,CA_Mendocino
California,CA,Shasta,CA_Shasta
California,CA,San Benito,CA_San Benito
California,CA,Solano,CA_Solano
California,CA,Nevada,CA_Nevada
California,CA,San Mateo,CA_San Mateo
California,CA,San Bernardino,CA_San Bernardino
California,CA,Santa Clara,CA_Santa Clara
California,CA,Tehama,CA_Tehama
California,CA,Santa Cruz,CA_Santa Cruz
California,CA,San Diego,CA_San Diego
California,CA,Placer,CA_Placer
California,CA,Marin,CA_Marin
Colorado,CO,Saguache,CO_Saguache
Colorado,CO,Otero,CO_Otero
Colorado,CO,Delta,CO_Delta
Colorado,CO,Alamosa,CO_Alamosa
Colorado,CO,Costilla,CO_Costilla
Colorado,CO,Mesa,CO_Mesa
Colorado,CO,Weld,CO_Weld
Colorado,CO,Yuma,CO_Yuma
Colorado,CO,Montrose,CO_Montrose
Colorado,CO,Pueblo,CO_Pueblo
Colorado,CO,Rio Grande,CO_Rio Grande
Connecticut,CT,Tolland,CT_Tolland
Connecticut,CT,Hartford,CT_Hartford
Connecticut,CT,Litchfield,CT_Litchfield
Connecticut,CT,New Haven,CT_New Haven
Delaware,DE,Sussex,DE_Sussex
Delaware,DE,Kent,DE_Kent
Florida,FL,Miami-Dade,FL_Miami-Dade
Florida,FL,Hendry,FL_Hendry
Florida,FL,Okeechobee,FL_Okeechobee
Florida,FL,Columbia,FL_Columbia
Florida,FL,Highlands,FL_Highlands
Florida,FL,Jackson,FL_Jackson
Florida,FL,Brevard,FL_Brevard
Florida,FL,Palm Beach,FL_Palm Beach
Florida,FL,Escambia,FL_Escambia
Florida,FL,Volusia,FL_Volusia
Florida,FL,Indian River,FL_Indian River
Florida,FL,Gilchrist,FL_Gilchrist
Florida,FL,Hernando,FL_Hernando
Florida,FL,Manatee,FL_Manatee
Florida,FL,Pasco,FL_Pasco
Florida,FL,Gadsden,FL_Gadsden
Florida,FL,Lee,FL_Lee
Florida,FL,Suwannee,FL_Suwannee
Florida,FL,Martin,FL_Martin
Florida,FL,Collier,FL_Collier
Florida,FL,Hardee,FL_Hardee
Florida,FL,Hillsborough,FL_Hillsborough
Florida,FL,Levy,FL_Levy
Florida,FL,Charlotte,FL_Charlotte
Florida,FL,Lake,FL_Lake
Florida,FL,St. Lucie,FL_St. Lucie
Florida,FL,Polk,FL_Polk
Florida,FL,Hamilton,FL_Hamilton
Florida,FL,Lafayette,FL_Lafayette
Florida,FL,Alachua,FL_Alachua
Florida,FL,Marion,FL_Marion
Florida,FL,Osceola,FL_Osceola
Florida,FL,St. Johns,FL_St. Johns
Florida,FL,Jefferson,FL_Jefferson
Florida,FL,De Soto,FL_De Soto
Florida,FL,Walton,FL_Walton
Florida,FL,Putnam,FL_Putnam
Florida,FL,Flagler,FL_Flagler
Florida,FL,Orange,FL_Orange
Florida,FL,Sarasota,FL_Sarasota
Georgia,GA,Lowndes,GA_Lowndes
Georgia,GA,Crisp,GA_Crisp
Georgia,GA,Thomas,GA_Thomas
