State,value,Category,Scenario
AL_Autauga,TX_Hays,Non Speciality Crop,RCP45
AL_Autauga,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Autauga,TX_Freestone,Non Speciality Crop,RCP45
AL_Autauga,TX_Leon,Non Speciality Crop,RCP45
AL_Autauga,TX_Limestone,Non Speciality Crop,RCP45
AL_Autauga,TX_Angelina,Non Speciality Crop,RCP45
AL_Autauga,TX_Madison,Speciality Crop,RCP45
AL_Autauga,TX_San Augustine,Non Speciality Crop,RCP45
AL_Autauga,TX_Trinity,Non Speciality Crop,RCP45
AL_Autauga,TX_Jasper,Non Speciality Crop,RCP45
AL_Baldwin,TX_Goliad,Non Speciality Crop,RCP45
AL_Baldwin,TX_Fort Bend,Speciality Crop,RCP45
AL_Baldwin,TX_Wharton,Speciality Crop,RCP45
AL_Baldwin,TX_Victoria,Non Speciality Crop,RCP45
AL_Baldwin,TX_Jackson,Non Speciality Crop,RCP45
AL_Baldwin,TX_Lavaca,Speciality Crop,RCP45
AL_Baldwin,TX_Webb,Non Speciality Crop,RCP45
AL_Baldwin,TX_Bee,Non Speciality Crop,RCP45
AL_Baldwin,TX_Duval,Non Speciality Crop,RCP45
AL_Baldwin,TX_San Patricio,Non Speciality Crop,RCP45
AL_Barbour,TX_Washington,Speciality Crop,RCP45
AL_Barbour,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Barbour,TX_Madison,Speciality Crop,RCP45
AL_Barbour,TX_Hays,Non Speciality Crop,RCP45
AL_Barbour,TX_Trinity,Non Speciality Crop,RCP45
AL_Barbour,TX_Burleson,Speciality Crop,RCP45
AL_Barbour,TX_Polk,Non Speciality Crop,RCP45
AL_Barbour,TX_Hardin,Non Speciality Crop,RCP45
AL_Barbour,TX_Blanco,Non Speciality Crop,RCP45
AL_Barbour,TX_Guadalupe,Speciality Crop,RCP45
AL_Bullock,TX_Washington,Speciality Crop,RCP45
AL_Bullock,TX_Madison,Speciality Crop,RCP45
AL_Bullock,TX_Brazos,Speciality Crop,RCP45
AL_Bullock,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Bullock,TX_Burleson,Speciality Crop,RCP45
AL_Bullock,TX_Blanco,Non Speciality Crop,RCP45
AL_Bullock,TX_Hays,Non Speciality Crop,RCP45
AL_Bullock,TX_Fayette,Speciality Crop,RCP45
AL_Bullock,TX_Polk,Non Speciality Crop,RCP45
AL_Chilton,TX_Freestone,Non Speciality Crop,RCP45
AL_Chilton,TX_Blanco,Non Speciality Crop,RCP45
AL_Chilton,TX_Leon,Non Speciality Crop,RCP45
AL_Chilton,TX_Hays,Non Speciality Crop,RCP45
AL_Chilton,TX_Trinity,Non Speciality Crop,RCP45
AL_Chilton,TX_San Augustine,Non Speciality Crop,RCP45
AL_Chilton,TX_Angelina,Non Speciality Crop,RCP45
AL_Chilton,TX_Jasper,Non Speciality Crop,RCP45
AL_Chilton,TX_Limestone,Non Speciality Crop,RCP45
AL_Chilton,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Covington,TX_Washington,Speciality Crop,RCP45
AL_Covington,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Covington,TX_Colorado,Speciality Crop,RCP45
AL_Covington,TX_Guadalupe,Speciality Crop,RCP45
AL_Covington,TX_Gonzales,Speciality Crop,RCP45
AL_Covington,TX_Burleson,Speciality Crop,RCP45
AL_Covington,TX_Polk,Non Speciality Crop,RCP45
AL_Covington,TX_Fayette,Speciality Crop,RCP45
AL_Covington,TX_Hays,Non Speciality Crop,RCP45
AL_Covington,TX_Caldwell,Speciality Crop,RCP45
AL_Cullman,TX_Morris,Non Speciality Crop,RCP45
AL_Cullman,TX_Hunt,Speciality Crop,RCP45
AL_Geneva,TX_Colorado,Speciality Crop,RCP45
AL_Geneva,TX_Lavaca,Speciality Crop,RCP45
AL_Geneva,TX_Fayette,Speciality Crop,RCP45
AL_Geneva,TX_Gonzales,Speciality Crop,RCP45
AL_Geneva,TX_Wilson,Speciality Crop,RCP45
AL_Geneva,TX_Guadalupe,Speciality Crop,RCP45
AL_Geneva,TX_Washington,Speciality Crop,RCP45
AL_Houston,TX_Lavaca,Speciality Crop,RCP45
AL_Houston,TX_Colorado,Speciality Crop,RCP45
AL_Houston,TX_Wilson,Speciality Crop,RCP45
AL_Houston,TX_Gonzales,Speciality Crop,RCP45
AL_Houston,TX_Fayette,Speciality Crop,RCP45
AL_Houston,TX_Bexar,Speciality Crop,RCP45
AL_Houston,TX_Atascosa,Speciality Crop,RCP45
AL_Mobile,TX_Lavaca,Speciality Crop,RCP45
AL_Mobile,TX_Colorado,Speciality Crop,RCP45
AL_Mobile,TX_Fort Bend,Speciality Crop,RCP45
AL_Mobile,TX_Wharton,Speciality Crop,RCP45
AL_Mobile,TX_Liberty,Non Speciality Crop,RCP45
AL_Mobile,TX_Goliad,Non Speciality Crop,RCP45
AL_Mobile,TX_Austin,Speciality Crop,RCP45
AL_Mobile,TX_Harris,Non Speciality Crop,RCP45
AL_Mobile,TX_Fayette,Speciality Crop,RCP45
AL_Mobile,TX_Gonzales,Speciality Crop,RCP45
AL_Pike,TX_Washington,Speciality Crop,RCP45
AL_Pike,TX_Guadalupe,Speciality Crop,RCP45
AL_Pike,TX_Fayette,Speciality Crop,RCP45
AL_Pike,TX_Hays,Non Speciality Crop,RCP45
AL_Pike,TX_San Jacinto,Non Speciality Crop,RCP45
AL_Pike,TX_Colorado,Speciality Crop,RCP45
AL_Pike,TX_Gonzales,Speciality Crop,RCP45
AL_Pike,TX_Caldwell,Speciality Crop,RCP45
AL_Pike,TX_Brazos,Speciality Crop,RCP45
AL_Pike,TX_Burleson,Speciality Crop,RCP45
AR_Bradley,TX_Hill,Non Speciality Crop,RCP45
